ISim log file
Running: C:\Users\sahil\Desktop\UCLAThings\2018-2019 Classes\Fall 2018\CS M152B\SJD\Lab0_2018\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/sahil/Desktop/UCLAThings/2018-2019 Classes/Fall 2018/CS M152B/SJD/Lab0_2018/first_counter_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
INFO:Security:51 - The XILINXD_LICENSE_FILE environment variable is not set.
INFO:Security:53 - The LM_LICENSE_FILE environment variable is not set.
INFO:Security:68a - user is sahil, on host SAHILLAPTOP.
WARNING:Security:43 - No license file was found in the standard Xilinx license directory.
WARNING:Security:44 - Since no license file was found,
       please run the Xilinx License Configuration Manager
       (xlcm or "Manage Xilinx Licenses")
       to assist in obtaining a license.
ERROR:Security:14 - No feature was available for 'ISIM'.

No such feature exists.
Feature:       ISIM
License path:  C:/.Xilinx;D:\Xilinx\14.7\ISE_DS\ISE\/data\*.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\Xilinx.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\XilinxFree.lic;
FLEXnet Licensing error:-5,357
For further information, refer to the FLEXnet Licensing documentation,
available at "www.flexerasoftware.com".
----------------------------------------------------------------------
WARNING: A full ISim License cannot be checked out due to the issues listed above. Please use Xilinx License Configuration Manager to fix these issues in order to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1855	 0 0 1 1111
1860	 1 0 1 1111
1865	 0 0 1 1111
1870	 1 0 1 1111
1875	 0 0 1 1111
1880	 1 0 1 1111
1885	 0 0 1 1111
1890	 1 0 1 1111
1895	 0 0 1 1111
1900	 1 0 1 1111
1905	 0 0 1 1111
1910	 1 0 1 1111
1911	 1 0 1 0000
1915	 0 0 1 0000
1920	 1 0 1 0000
1925	 0 0 1 0000
1930	 1 0 1 0000
1935	 0 0 1 0000
1940	 1 0 1 0000
1945	 0 0 1 0000
1950	 1 0 1 0000
1955	 0 0 1 0000
1960	 1 0 1 0000
1965	 0 0 1 0000
1970	 1 0 1 0000
1971	 1 0 1 0001
1975	 0 0 1 0001
1980	 1 0 1 0001
1985	 0 0 1 0001
1990	 1 0 1 0001
1995	 0 0 1 0001
2000	 1 0 1 0001
2005	 0 0 1 0001
2010	 1 0 1 0001
2015	 0 0 1 0001
2020	 1 0 1 0001
2025	 0 0 1 0001
2030	 1 0 1 0001
2031	 1 0 1 0010
2035	 0 0 1 0010
2040	 1 0 1 0010
2045	 0 0 1 0010
2050	 1 0 1 0010
2055	 0 0 1 0010
2060	 1 0 1 0010
2065	 0 0 1 0010
2070	 1 0 1 0010
2075	 0 0 1 0010
2080	 1 0 1 0010
2085	 0 0 1 0010
2090	 1 0 1 0010
2091	 1 0 1 0011
2095	 0 0 1 0011
2100	 1 0 1 0011
2105	 0 0 1 0011
2110	 1 0 1 0011
2115	 0 0 1 0011
2120	 1 0 1 0011
2125	 0 0 1 0011
2130	 1 0 1 0011
2135	 0 0 1 0011
2140	 1 0 1 0011
2145	 0 0 1 0011
2150	 1 0 1 0011
2151	 1 0 1 0100
2155	 0 0 1 0100
2160	 1 0 1 0100
2165	 0 0 1 0100
2170	 1 0 1 0100
2175	 0 0 1 0100
2180	 1 0 1 0100
2185	 0 0 1 0100
2190	 1 0 1 0100
2195	 0 0 1 0100
2200	 1 0 1 0100
2205	 0 0 1 0100
2210	 1 0 1 0100
2211	 1 0 1 0101
2215	 0 0 1 0101
2220	 1 0 1 0101
2225	 0 0 1 0101
2230	 1 0 1 0101
2235	 0 0 1 0101
2240	 1 0 1 0101
2245	 0 0 1 0101
2250	 1 0 1 0101
2255	 0 0 1 0101
2260	 1 0 1 0101
2265	 0 0 1 0101
2270	 1 0 1 0101
2271	 1 0 1 0110
2275	 0 0 1 0110
2280	 1 0 1 0110
2285	 0 0 1 0110
2290	 1 0 1 0110
2295	 0 0 1 0110
2300	 1 0 1 0110
2305	 0 0 1 0110
2310	 1 0 1 0110
2315	 0 0 1 0110
2320	 1 0 1 0110
2325	 0 0 1 0110
2330	 1 0 1 0110
2331	 1 0 1 0111
2335	 0 0 1 0111
2340	 1 0 1 0111
2345	 0 0 1 0111
2350	 1 0 1 0111
2355	 0 0 1 0111
2360	 1 0 1 0111
2365	 0 0 1 0111
2370	 1 0 1 0111
2375	 0 0 1 0111
2380	 1 0 1 0111
2385	 0 0 1 0111
2390	 1 0 1 0111
2391	 1 0 1 1000
2395	 0 0 1 1000
2400	 1 0 1 1000
2405	 0 0 1 1000
2410	 1 0 1 1000
2415	 0 0 1 1000
2420	 1 0 1 1000
2425	 0 0 1 1000
2430	 1 0 1 1000
2435	 0 0 1 1000
2440	 1 0 1 1000
2445	 0 0 1 1000
2450	 1 0 1 1000
2451	 1 0 1 1001
2455	 0 0 1 1001
2460	 1 0 1 1001
2465	 0 0 1 1001
2470	 1 0 1 1001
2475	 0 0 1 1001
2480	 1 0 1 1001
2485	 0 0 1 1001
2490	 1 0 1 1001
2495	 0 0 1 1001
2500	 1 0 1 1001
2505	 0 0 1 1001
2510	 1 0 1 1001
2511	 1 0 1 1010
2515	 0 0 1 1010
2520	 1 0 1 1010
2525	 0 0 1 1010
2530	 1 0 1 1010
2535	 0 0 1 1010
2540	 1 0 1 1010
2545	 0 0 1 1010
2550	 1 0 1 1010
2555	 0 0 1 1010
2560	 1 0 1 1010
2565	 0 0 1 1010
2570	 1 0 1 1010
2571	 1 0 1 1011
2575	 0 0 1 1011
2580	 1 0 1 1011
2585	 0 0 1 1011
2590	 1 0 1 1011
2595	 0 0 1 1011
2600	 1 0 1 1011
2605	 0 0 1 1011
2610	 1 0 1 1011
2615	 0 0 1 1011
2620	 1 0 1 1011
2625	 0 0 1 1011
2630	 1 0 1 1011
2631	 1 0 1 1100
